№,Title,Artist(s),Year,No.
33,"""Gone till November""",Wyclef Jean,1998,
34,"""My Body""",LSG,1998,
35,"""Tubthumping""",Chumbawamba,1998,
36,"""Deja Vu (Uptown Baby)""",Lord Tariq and Peter Gunz,1998,
37,"""I Want You Back""",NSYNC,1998,
38,"""When the Lights Go Out""",Five,1998,
39,"""They Don't Know""",Jon B.,1998,
40,"""Make 'Em Say Uhh!""","Master P featuring Fiend, Silkk the Shocker, Mia X and Mystikal",1998,
41,"""Make It Hot""",Nicole featuring Missy Elliott and Mocha,1998,
42,"""Never Ever""",All Saints,1998,
43,"""I Get Lonely""",Janet featuring Blackstreet,1998,
44,"""Feel So Good""",Mase,1998,
45,"""Say It""",Voices of Theory,1998,
46,"""Kiss the Rain""",Billie Myers,1998,
47,"""Come with Me""",Puff Daddy featuring Jimmy Page,1998,
48,"""Romeo and Juliet""",Sylk-E. Fyne featuring Chill,1998,
49,"""It's All About Me""",Mýa and Sisqo,1998,
50,"""I Will Come to You""",Hanson,1998,
51,"""One Week""",Barenaked Ladies,1998,
52,"""Swing My Way""",K. P. & Envyi,1998,
53,"""The Arms of the One Who Loves You""",Xscape,1998,
54,"""My Love Is the Shhh!""",Somethin' for the People featuring Trina & Tamara,1998,
55,"""Daydreamin'""",Tatyana Ali,1998,
56,"""We're Not Making Love No More""",Dru Hill,1998,
57,"""Semi-Charmed Life""",Third Eye Blind,1998,
58,"""I Do""",Lisa Loeb,1998,
59,"""Lookin' at Me""",Mase featuring Puff Daddy,1998,
60,"""Looking Through Your Eyes""",LeAnn Rimes,1998,
61,"""Lately""",Divine,1998,
62,"""Quit Playing Games (With My Heart)""",Backstreet Boys,1998,
63,"""I Still Love You""",Next,1998,
64,"""Time After Time""",INOJ,1998,
65,"""Are You Jimmy Ray?""",Jimmy Ray,1998,
66,"""Cruel Summer""",Ace of Base,1998,
67,"""I Got the Hook Up""",Master P featuring Sons of Funk,1998,
68,"""Victory""",Puff Daddy & the Family featuring The Notorious B.I.G. and Busta Rhymes,1998,
69,"""Too Much""",Spice Girls,1998,
70,"""Ghetto Supastar (That Is What You Are)""",Pras Michel featuring Ol' Dirty Bastard and Mýa,1998,
71,"""How Deep Is Your Love""",Dru Hill featuring Redman,1998,
72,"""Friend of Mine""",Kelly Price,1998,
73,"""Turn It Up (Remix)/Fire It Up""",Busta Rhymes,1998,
74,"""I'll Be""",Edwin McCain,1998,
75,"""Ray of Light""",Madonna,1998,
76,"""All for You""",Sister Hazel,1998,
77,"""Touch It""",Monifah,1998,
78,"""Money, Power & Respect""",The Lox featuring DMX and Lil' Kim,1998,
79,"""Bitter Sweet Symphony""",The Verve,1998,
80,"""Dangerous""",Busta Rhymes,1998,
81,"""Spice Up Your Life""",Spice Girls,1998,
82,"""Because of You""",98 Degrees,1998,
83,"""The Mummers' Dance""",Loreena McKennitt,1998,
84,"""All Cried Out""",Allure featuring 112,1998,
85,"""Still Not a Player""",Big Punisher featuring Joe,1998,
86,"""The One I Gave My Heart To""",Aaliyah,1998,
87,"""Foolish Games"" / ""You Were Meant for Me""",Jewel,1998,
88,"""Love You Down""",INOJ,1998,
89,"""Do for Love""",2Pac featuring Eric Williams,1998,
90,"""Raise the Roof""",Luke featuring No Good But So Good,1998,
91,"""Heaven""",Nu Flavor,1998,
92,"""The Party Continues""",JD featuring Da Brat,1998,
93,"""Sock It 2 Me""",Missy Elliott featuring Da Brat,1998,
94,"""Butta Love""",Next,1998,
95,"""A Rose Is Still a Rose""",Aretha Franklin,1998,
96,"""4 Seasons of Loneliness""",Boyz II Men,1998,
97,"""Father""",LL Cool J,1998,
98,"""Thinkin' Bout It""",Gerald Levert,1998,
99,"""Nobody's Supposed to Be Here""",Deborah Cox,1998,
100,"""Westside""",TQ,1998,
,"""Believe""",Cher,1999,1
,"""No Scrubs""",TLC,1999,2
,"""Angel of Mine""",Monica,1999,3
,"""Heartbreak Hotel""",Whitney Houston featuring Faith Evans and Kelly Price,1999,4
,"""...Baby One More Time""",Britney Spears,1999,5
,"""Kiss Me""",Sixpence None the Richer,1999,6
,"""Genie in a Bottle""",Christina Aguilera,1999,7
,"""Every Morning""",Sugar Ray,1999,8
,"""Nobody's Supposed to Be Here""",Deborah Cox,1999,9
,"""Livin' la Vida Loca""",Ricky Martin,1999,10
,"""Where My Girls At?""",702,1999,11
,"""If You Had My Love""",Jennifer Lopez,1999,12
,"""Slide""",Goo Goo Dolls,1999,13
,"""Have You Ever?""",Brandy,1999,14
,"""I Want It That Way""",Backstreet Boys,1999,15
,"""I'm Your Angel""",R. Kelly and Celine Dion,1999,16
,"""All Star""",Smash Mouth,1999,17
,"""Angel""",Sarah McLachlan,1999,18
,"""Smooth""",Santana featuring Rob Thomas,1999,19
,"""Unpretty""",TLC,1999,20
,"""Bills, Bills, Bills""",Destiny's Child,1999,21
,"""Save Tonight""",Eagle-Eye Cherry,1999,22
,"""Last Kiss""",Pearl Jam,1999,23
,"""Fortunate""",Maxwell,1999,24
,"""All I Have to Give""",Backstreet Boys,1999,25
,"""Bailamos""",Enrique Iglesias,1999,26
,"""What's It Gonna Be?!""",Busta Rhymes featuring Janet,1999,27
,"""What It's Like""",Everlast,1999,28
,"""Fly Away""",Lenny Kravitz,1999,29
,"""Someday""",Sugar Ray,1999,30
,"""Lately""",Divine,1999,31
,"""That Don't Impress Me Much""",Shania Twain,1999,32
,"""Wild Wild West""",Will Smith featuring Dru Hill and Kool Moe Dee,1999,33
,"""Scar Tissue""",Red Hot Chili Peppers,1999,34
,"""Heartbreaker""",Mariah Carey featuring Jay-Z,1999,35
,"""I Still Believe""",Mariah Carey,1999,36
,"""The Hardest Thing""",98 Degrees,1999,37
,"""Summer Girls""",LFO,1999,38
,"""Can I Get A...""",Jay-Z featuring Amil and Ja Rule,1999,39
,"""Jumper""",Third Eye Blind,1999,40
,"""Doo Wop (That Thing)""",Lauryn Hill,1999,41
,"""Mambo No. 5""",Lou Bega,1999,42
,"""Sweet Lady""",Tyrese,1999,43
,"""It's Not Right but It's Okay""",Whitney Houston,1999,44
,"""(God Must Have Spent) A Little More Time on You""",NSYNC,1999,45
,"""Lullaby""",Shawn Mullins,1999,46
,"""Anywhere""",112 featuring Lil Zane,1999,47
,"""Tell Me It's Real""",K-Ci & JoJo,1999,48
,"""Back 2 Good""",Matchbox 20,1999,49
,"""808""",Blaque,1999,50
,"""She's So High""",Tal Bachman,1999,51
,"""She's All I Ever Had""",Ricky Martin,1999,52
,"""Miami""",Will Smith,1999,53
,"""Hands""",Jewel,1999,54
,"""Who Dat""",JT Money featuring Solé,1999,55
,"""Please Remember Me""",Tim McGraw,1999,56
,"""From This Moment On""",Shania Twain,1999,57
,"""Love Like This""",Faith Evans,1999,58
,"""You""",Jesse Powell,1999,59
,"""Trippin'""",Total featuring Missy Elliott,1999,60
,"""If You""",Silk,1999,61
,"""Ex-Factor""",Lauryn Hill,1999,62
,"""Give It to You""",Jordan Knight,1999,63
,"""Black Balloon""",Goo Goo Dolls,1999,64
,"""Spend My Life with You""",Eric Benét featuring Tamia,1999,65
,"""These Are the Times""",Dru Hill,1999,66
,"""I Don't Want to Miss a Thing""",Mark Chesnutt,1999,67
,"""I Do (Cherish You)""",98 Degrees,1999,68
,"""Because of You""",,1999,69
,"""I Will Remember You""",Sarah McLachlan,1999,70
,"""Chanté's Got a Man""",Chanté Moore,1999,71
,"""Happily Ever After""",Case,1999,72
,"""My Love Is Your Love""",Whitney Houston,1999,73
,"""All Night Long""",Faith Evans featuring Puff Daddy,1999,74
,"""Back That Thang Up""",Juvenile featuring Mannie Fresh and Lil Wayne,1999,75
,"""Almost Doesn't Count""",Brandy,1999,76
,"""Man! I Feel Like a Woman!""",Shania Twain,1999,77
,"""Steal My Sunshine""",Len,1999,78
,"""I Need to Know""",Marc Anthony,1999,79
,"""So Anxious""",Ginuwine,1999,80
,"""Faded Pictures""",Case featuring Joe,1999,81
,"""Back at One""",Brian McKnight,1999,82
,"""When a Woman's Fed Up""",R. Kelly,1999,83
,"""How Forever Feels""",Kenny Chesney,1999,84
,"""Amazed""",Lonestar,1999,85
,"""Sometimes""",Britney Spears,1999,86
,"""Ghetto Cowboy""",Mo Thugs,1999,87
,"""Out of My Head""",Fastball,1999,88
,"""Hard Knock Life (Ghetto Anthem)""",Jay-Z,1999,89
,"""Jamboree""",Naughty by Nature featuring Zhané,1999,90
,"""Take Me There""","Blackstreet featuring Mýa, Mase and Blinky Blink",1999,91
,"""Stay the Same""",Joey McIntyre,1999,92
,"""A Lesson in Leavin'""",Jo Dee Messina,1999,93
,"""Iris""",Goo Goo Dolls,1999,94
,"""Satisfy You""",Puff Daddy featuring R. Kelly,1999,95
,"""Better Days (And the Bottom Drops Out)""",Citizen King,1999,96
,"""Music of My Heart""",NSYNC and Gloria Estefan,1999,97
,"""Write This Down""",George Strait,1999,98
,"""When You Believe""",Whitney Houston and Mariah Carey,1999,99
,"""(God Must Have Spent) A Little More Time on You""",Alabama and NSYNC,1999,100
,"""Breathe""",Faith Hill,2000,1
,"""Smooth""",Santana featuring Rob Thomas,2000,2
,"""Maria Maria""",Santana featuring The Product G&B,2000,3
,"""I Wanna Know""",Joe,2000,4
,"""Everything You Want""",Vertical Horizon,2000,5
,"""Say My Name""",Destiny's Child,2000,6
,"""I Knew I Loved You""",Savage Garden,2000,7
,"""Amazed""",Lonestar,2000,8
,"""Bent""",Matchbox Twenty,2000,9
,"""He Wasn't Man Enough""",Toni Braxton,2000,10
,"""Higher""",Creed,2000,11
,"""Try Again""",Aaliyah,2000,12
,"""Jumpin', Jumpin'""",Destiny's Child,2000,13
,"""Thong Song""",Sisqó,2000,14
,"""Kryptonite""",3 Doors Down,2000,15
,"""There You Go""",Pink,2000,16
,"""Music""",Madonna,2000,17
,"""Doesn't Really Matter""",Janet Jackson,2000,18
,"""What a Girl Wants""",Christina Aguilera,2000,19
,"""Back at One""",Brian McKnight,2000,20
,"""Bye Bye Bye""",NSYNC,2000,21
,"""You Sang to Me""",Marc Anthony,2000,22
,"""I Need to Know""",,2000,23
,"""Get It On Tonite""",Montell Jordan,2000,24
,"""Incomplete""",Sisqó,2000,25
,"""I Try""",Macy Gray,2000,26
,"""It's Gonna Be Me""",NSYNC,2000,27
,"""That's the Way It Is""",Celine Dion,2000,28
,"""Country Grammar (Hot Shit)""",Nelly,2000,29
,"""Bring It All to Me""",Blaque,2000,30
,"""Show Me the Meaning of Being Lonely""",Backstreet Boys,2000,31
,"""Hot Boyz""","Missy Elliott featuring Nas, Eve and Q-Tip",2000,32
,"""Back Here""",BBMak,2000,33
,"""It Feels So Good""",Sonique,2000,34
,"""Absolutely (Story of a Girl)""",Nine Days,2000,35
,"""With Arms Wide Open""",Creed,2000,36
,"""Be with You""",Enrique Iglesias,2000,37
,"""Come On Over Baby (All I Want Is You)""",Christina Aguilera,2000,38
,"""No More""",Ruff Endz,2000,39
,"""All the Small Things""",Blink 182,2000,40
,"""The Way You Love Me""",Faith Hill,2000,41
,"""I Turn to You""",Christina Aguilera,2000,42
,"""Never Let You Go""",Third Eye Blind,2000,43
,"""I Need You""",LeAnn Rimes,2000,44
,"""Thank God I Found You""",Mariah Carey featuring Joe and 98 Degrees,2000,45
,"""Let's Get Married""",Jagged Edge,2000,46
,"""My Love Is Your Love""",Whitney Houston,2000,47
,"""Then the Morning Comes""",Smash Mouth,2000,48
,"""Blue (Da Ba Dee)""",Eiffel 65,2000,49
,"""Desert Rose""",Sting featuring Cheb Mami,2000,50
,"""The Real Slim Shady""",Eminem,2000,51
,"""Most Girls""",Pink,2000,52
,"""Wifey""",Next,2000,53
,"""Wonderful""",Everclear,2000,54
,"""Oops!... I Did It Again""",Britney Spears,2000,55
,"""I Wanna Love You Forever""",Jessica Simpson,2000,56
,"""Give Me Just One Night (Una Noche)""",98 Degrees,2000,57
,"""Take a Picture""",Filter,2000,58
,"""Otherside""",Red Hot Chili Peppers,2000,59
,"""Big Pimpin'""",Jay-Z featuring UGK,2000,60
,"""Purest of Pain (A Puro Dolor)""",Son by Four,2000,61
,"""He Can't Love U""",Jagged Edge,2000,62
,"""Separated""",Avant,2000,63
,"""I Wish""",Carl Thomas,2000,64
,"""U Know What's Up""",Donell Jones,2000,65
,"""Faded""",soulDecision featuring Thrust,2000,66
,"""Only God Knows Why""",Kid Rock,2000,67
,"""Shake Ya Ass""",Mystikal,2000,68
,"""Bag Lady""",Erykah Badu,2000,69
,"""Meet Virginia""",Train,2000,70
,"""Party Up (Up in Here)""",DMX,2000,71
,"""Case of the Ex (Whatcha Gonna Do)""",Mýa,2000,72
,"""Forgot About Dre""",Dr. Dre featuring Eminem,2000,73
,"""That's the Way""",Jo Dee Messina,2000,74
,"""Swear It Again""",Westlife,2000,75
,"""The Next Episode""",Dr. Dre featuring Snoop Dogg,2000,76
,"""From the Bottom of My Broken Heart""",Britney Spears,2000,77
,"""Crash and Burn""",Savage Garden,2000,78
,"""Yes!""",Chad Brock,2000,79
,"""The Best Day""",George Strait,2000,80
,"""Where I Wanna Be""",Donell Jones,2000,81
,"""How Do You Like Me Now?!""",Toby Keith,2000,82
,"""My Best Friend""",Tim McGraw,2000,83
,"""Broadway""",Goo Goo Dolls,2000,84
,"""What'chu Like""",Da Brat featuring Tyrese,2000,85
,"""Don't Think I'm Not""",Kandi,2000,86
,"""I Hope You Dance""",Lee Ann Womack with Sons of the Desert,2000,87
,"""Better Off Alone""",Alice Deejay,2000,88
,"""Dance with Me""",Debelah Morgan,2000,89
,"""What About Now""",Lonestar,2000,90
,"""I Like It""",Sammie,2000,91
,"""24/7""",Kevon Edmonds,2000,92
,"""Girl on TV""",LFO,2000,93
,"""Bounce with Me""",Lil' Bow Wow featuring Xscape,2000,94
,"""Cowboy Take Me Away""",Dixie Chicks,2000,95
,"""I Don't Wanna""",Aaliyah,2000,96
,"""Independent Women Part I""",Destiny's Child,2000,97
,"""Gotta Tell You""",Samantha Mumba,2000,98
,"""Waiting for Tonight""",Jennifer Lopez,2000,99
,"""Shackles (Praise You)""",Mary Mary,2000,100
,"""Hanging by a Moment""",Lifehouse,2001,1
,"""Fallin'""",Alicia Keys,2001,2
,"""All for You""",Janet Jackson,2001,3
,"""Drops of Jupiter (Tell Me)""",Train,2001,4
,"""I'm Real (Murder Remix)""",Jennifer Lopez featuring Ja Rule,2001,5
,"""If You're Gone""",Matchbox Twenty,2001,6
,"""Let Me Blow Ya Mind""",Eve featuring Gwen Stefani,2001,7
,"""Thank You""",Dido,2001,8
,"""Again""",Lenny Kravitz,2001,9
,"""Independent Women Part I""",Destiny's Child,2001,10
,"""Hit 'Em Up Style (Oops!)""",Blu Cantrell,2001,11
,"""It Wasn't Me""",Shaggy featuring Rikrok,2001,12
,"""Stutter""",Joe featuring Mystikal,2001,13
,"""It's Been Awhile""",Staind,2001,14
,"""U Remind Me""",Usher,2001,15
,"""Where the Party At""",Jagged Edge with Nelly,2001,16
,"""Angel""",Shaggy featuring Rayvon,2001,17
,"""Ride wit Me""",Nelly featuring City Spud,2001,18
,"""Follow Me""",Uncle Kracker,2001,19
,"""Peaches & Cream""",112,2001,20
,"""Drive""",Incubus,2001,21
,"""What Would You Do?""",City High,2001,22
,"""Survivor""",Destiny's Child,2001,23
,"""Lady Marmalade""","Christina Aguilera, Lil' Kim, Mýa and Pink",2001,24
,"""Ms. Jackson""",Outkast,2001,25
,"""Love Don't Cost a Thing""",Jennifer Lopez,2001,26
,"""The Way You Love Me""",Faith Hill,2001,27
,"""He Loves U Not""",Dream,2001,28
,"""Butterfly""",Crazy Town,2001,29
,"""Put It on Me""",Ja Rule featuring Lil' Mo and Vita,2001,30
,"""Family Affair""",Mary J. Blige,2001,31
,"""I Hope You Dance""",Lee Ann Womack,2001,32
,"""South Side""",Moby featuring Gwen Stefani,2001,33
,"""Don't Tell Me""",Madonna,2001,34
,"""Get Ur Freak On""",Missy Elliott,2001,35
,"""Crazy""",K-Ci & JoJo,2001,36
,"""Fill Me In""",Craig David,2001,37
,"""Someone to Call My Lover""",Janet Jackson,2001,38
,"""With Arms Wide Open""",Creed,2001,39
,"""Case of the Ex (Whatcha Gonna Do)""",Mýa,2001,40
,"""All or Nothing""",O-Town,2001,41
,"""Bootylicious""",Destiny's Child,2001,42
,"""I'm Like a Bird""",Nelly Furtado,2001,43
,"""Kryptonite""",3 Doors Down,2001,44
,"""Fiesta""",R. Kelly featuring Jay-Z,2001,45
,"""When It's Over""",Sugar Ray,2001,46
,"""Jaded""",Aerosmith,2001,47
,"""Promise""",Jagged Edge,2001,48
,"""Missing You""",Case,2001,49
,"""Differences""",Ginuwine,2001,50
,"""This I Promise You""",NSYNC,2001,51
,"""Izzo (H.O.V.A.)""",Jay-Z,2001,52
,"""Superwoman Pt. II""",Lil' Mo featuring Fabolous,2001,53
,"""Crazy for This Girl""",Evan and Jaron,2001,54
,"""Nobody Wants to Be Lonely""",Ricky Martin and Christina Aguilera,2001,55
,"""I Just Wanna Love U (Give It 2 Me)""",Jay-Z,2001,56
,"""One Minute Man""",Missy Elliott featuring Ludacris,2001,57
,"""Danger (Been So Long)""",Mystikal featuring Nivea,2001,58
,"""Only Time""",Enya,2001,59
,"""I Do!!""",Toya,2001,60
,"""Never Had a Dream Come True""",S Club 7,2001,61
,"""Stranger in My House""",Tamia,2001,62
,"""Irresistible""",Jessica Simpson,2001,63
,"""Heard It All Before""",Sunshine Anderson,2001,64
,"""The Space Between""",Dave Matthews Band,2001,65
,"""There You'll Be""",Faith Hill,2001,66
,"""Love""",Musiq Soulchild,2001,67
,"""It's Over Now""",112,2001,68
,"""No More (Baby I'ma Do Right)""",3LW,2001,69
,"""Turn Off the Light""",Nelly Furtado,2001,70
,"""Ain't Nothing 'bout You""",Brooks & Dunn,2001,71
,"""Play""",Jennifer Lopez,2001,72
,"""I'm Already There""",Lonestar,2001,73
,"""My Baby""",Lil' Romeo,2001,74
,"""Beautiful Day""",U2,2001,75
,"""Austin""",Blake Shelton,2001,76
,"""Southern Hospitality""",Ludacris,2001,77
,"""Grown Men Don't Cry""",Tim McGraw,2001,78
,"""Livin' It Up""",Ja Rule featuring Case,2001,79
,"""Loverboy""",Mariah Carey featuring Cameo,2001,80
,"""Contagious""",The Isley Brothers featuring R. Kelly and Chanté Moore,2001,81
,"""Who I Am""",Jessica Andrews,2001,82
,"""Music""",Erick Sermon featuring Marvin Gaye,2001,83
,"""I Wanna Be Bad""",Willa Ford,2001,84
,"""Don't Happen Twice""",Kenny Chesney,2001,85
,"""One More Day""",Diamond Rio,2001,86
,"""I Wish""",R. Kelly,2001,87
,"""It's a Great Day to Be Alive""",Travis Tritt,2001,88
,"""I'm a Thug""",Trick Daddy,2001,89
,"""Here's to the Night""",Eve 6,2001,90
,"""You Shouldn't Kiss Me Like This""",Toby Keith,2001,91
,"""Get Over Yourself""",Eden's Crush,2001,92
,"""Dance with Me""",Debelah Morgan,2001,93
,"""So Fresh, So Clean""",Outkast,2001,94
,"""E.I.""",Nelly,2001,95
,"""Be Like That""",3 Doors Down,2001,96
,"""Most Girls""",Pink,2001,97
,"""Oochie Wally""",QB Finest featuring Nas and Bravehearts,2001,98
,"""Hero""",Enrique Iglesias,2001,99
,"""Hemorrhage (In My Hands)""",Fuel,2001,100
,"""How You Remind Me""",Nickelback,2002,1
,"""Foolish""",Ashanti,2002,2
,"""Hot in Herre""",Nelly,2002,3
,"""Dilemma""",Nelly featuring Kelly Rowland,2002,4
,"""Wherever You Will Go""",The Calling,2002,5
,"""A Thousand Miles""",Vanessa Carlton,2002,6
,"""In the End""",Linkin Park,2002,7
,"""What's Luv?""",Fat Joe featuring Ashanti,2002,8
,"""U Got It Bad""",Usher,2002,9
,"""Blurry""",Puddle of Mudd,2002,10
,"""Complicated""",Avril Lavigne,2002,11
,"""Always on Time""",Ja Rule featuring Ashanti,2002,12
,"""Ain't It Funny (Murder Remix)""",Jennifer Lopez featuring Ja Rule,2002,13
,"""The Middle""",Jimmy Eat World,2002,14
,"""I Need a Girl (Part One)""",P. Diddy featuring Usher and Loon,2002,15
,"""U Don't Have to Call""",Usher,2002,16
,"""Family Affair""",Mary J. Blige,2002,17
,"""I Need a Girl (Part Two)""","P. Diddy featuring Ginuwine, Loon and Mario Winans",2002,18
,"""Gangsta Lovin'""",Eve featuring Alicia Keys,2002,19
,"""My Sacrifice""",Creed,2002,20
,"""Without Me""",Eminem,2002,21
,"""Hero""",Enrique Iglesias,2002,22
,"""All You Wanted""",Michelle Branch,2002,23
,"""Get the Party Started""",Pink,2002,24
,"""Hero""",Chad Kroeger featuring Josey Scott,2002,25
,"""Wasting My Time""",Default,2002,26
,"""One Last Breath""",Creed,2002,27
,"""Whenever, Wherever""",Shakira,2002,28
,"""I'm Gonna Be Alright""",Jennifer Lopez featuring Nas,2002,29
,"""Oh Boy""",Cam'ron featuring Juelz Santana,2002,30
,"""Heaven""",DJ Sammy featuring Yanou and Do,2002,31
,"""Hey Baby""",No Doubt featuring Bounty Killer,2002,32
,"""Girlfriend""",NSYNC featuring Nelly,2002,33
,"""Just a Friend 2002""",Mario,2002,34
,"""Soak Up the Sun""",Sheryl Crow,2002,35
,"""Don't Let Me Get Me""",Pink,2002,36
,"""Nothin'""",N.O.R.E.,2002,37
,"""Oops (Oh My)""",Tweet featuring Missy Elliott,2002,38
,"""A Moment Like This""",Kelly Clarkson,2002,39
,"""Addictive""",Truth Hurts featuring Rakim,2002,40
,"""Happy""",Ashanti,2002,41
,"""No Such Thing""",John Mayer,2002,42
,"""Just Like a Pill""",Pink,2002,43
,"""Down 4 U""","Ja Rule featuring Ashanti, Charli Baltimore and Vita",2002,44
,"""Can't Get You Out of My Head""",Kylie Minogue,2002,45
,"""Superman (It's Not Easy)""",Five for Fighting,2002,46
,"""Cleanin' Out My Closet""",Eminem,2002,47
,"""Halfcrazy""",Musiq Soulchild,2002,48
,"""Lights, Camera, Action!""",Mr. Cheeks,2002,49
,"""Still Fly""",Big Tymers,2002,50
,"""A Woman's Worth""",Alicia Keys,2002,51
,"""7 Days""",Craig David,2002,52
,"""Hey Ma""",Cam'ron featuring Juelz Santana and Freekey Zekey,2002,53
,"""Work It""",Missy Elliott,2002,54
,"""Move Bitch""",Ludacris featuring Mystikal and I-20,2002,55
,"""Can't Fight the Moonlight""",LeAnn Rimes,2002,56
,"""Escape""",Enrique Iglesias,2002,57
,"""More Than A Woman""",Aaliyah,2002,58
,"""Hella Good""",No Doubt,2002,59
,"""I Love You""",Faith Evans,2002,60
,"""Gotta Get thru This""",Daniel Bedingfield,2002,61
,"""Pass the Courvoisier, Part II""",Busta Rhymes featuring P. Diddy and Pharrell,2002,62
,"""Lose Yourself""",Eminem,2002,63
,"""Butterflies""",Michael Jackson,2002,64
,"""What About Us?""",Brandy,2002,65
,"""Underneath Your Clothes""",Shakira,2002,66
,"""Rainy Dayz""",Mary J. Blige featuring Ja Rule,2002,67
,"""Differences""",Ginuwine,2002,68
,"""If I Could Go!""",Angie Martinez featuring Lil' Mo and Sacario,2002,69
,"""The Whole World""",Outkast featuring Killer Mike,2002,70
,"""Underneath It All""",No Doubt featuring Lady Saw,2002,71
,"""Caramel""",City High featuring Eve,2002,72
,"""Luv U Better""",LL Cool J,2002,73
,"""Gimme the Light""",Sean Paul,2002,74
,"""Gone""",NSYNC,2002,75
,"""Livin' It Up""",Ja Rule featuring Case,2002,76
,"""Rollout (My Business)""",Ludacris,2002,77
,"""Here Is Gone""",Goo Goo Dolls,2002,78
,"""No More Drama""",Mary J. Blige,2002,79
,"""Days Go By""",Dirty Vegas,2002,80
,"""Baby""",Ashanti,2002,81
,"""The Good Stuff""",Kenny Chesney,2002,82
,"""We Thuggin'""",Fat Joe featuring R. Kelly,2002,83
,"""Good Morning Beautiful""",Steve Holy,2002,84
,"""Rock the Boat""",Aaliyah,2002,85
,"""Drive (For Daddy Gene)""",Alan Jackson,2002,86
,"""Standing Still""",Jewel,2002,87
,"""Anything""",Jaheim featuring Next,2002,88
,"""Full Moon""",Brandy,2002,89
,"""Uh Huh""",B2K,2002,90
,"""A New Day Has Come""",Celine Dion,2002,91
,"""Turn Off the Light""",Nelly Furtado,2002,92
,"""Living and Living Well""",George Strait,2002,93
,"""My List""",Toby Keith,2002,94
,"""Hands Clean""",Alanis Morissette,2002,95
,"""Sk8er Boi""",Avril Lavigne,2002,96
,"""Long Time Gone""",Dixie Chicks,2002,97
,"""Where Were You (When the World Stopped Turning)""",Alan Jackson,2002,98
,"""Like I Love You""",Justin Timberlake,2002,99
,"""I Do!!""",Toya,2002,100
,"""In da Club""",50 Cent,2003,1
,"""Ignition""",R. Kelly,2003,2
,"""Get Busy""",Sean Paul,2003,3
,"""Crazy in Love""",Beyoncé featuring Jay-Z,2003,4
,"""When I'm Gone""",3 Doors Down,2003,5
,"""Unwell""",Matchbox Twenty,2003,6
,"""Right Thurr""",Chingy,2003,7
,"""Miss You""",Aaliyah,2003,8
,"""Picture""",Kid Rock featuring Sheryl Crow,2003,9
,"""Bring Me to Life""",Evanescence featuring Paul McCoy,2003,10
,"""Get Low""",Lil Jon & The East Side Boyz featuring Ying Yang Twins,2003,11
,"""Baby Boy""",Beyoncé featuring Sean Paul,2003,12
,"""Shake Ya Tailfeather""","Nelly, P. Diddy and Murphy Lee",2003,13
,"""21 Questions""",50 Cent featuring Nate Dogg,2003,14
,"""All I Have""",Jennifer Lopez featuring LL Cool J,2003,15
,"""Beautiful""",Christina Aguilera,2003,16
,"""I Know What You Want""",Busta Rhymes and Mariah Carey featuring Flipmode Squad,2003,17
,"""I'm with You""",Avril Lavigne,2003,18
,"""Drift Away""",Uncle Kracker featuring Dobie Gray,2003,19
,"""Magic Stick""",Lil' Kim featuring 50 Cent,2003,20
,"""P.I.M.P.""",50 Cent,2003,21
,"""Bump, Bump, Bump""",B2K and P. Diddy,2003,22
,"""Into You""",Fabolous featuring Tamia,2003,23
,"""Can't Let You Go""",Fabolous featuring Lil' Mo and Mike Shorey,2003,24
,"""Mesmerize""",Ja Rule featuring Ashanti,2003,25
,"""Where Is the Love?""",Black Eyed Peas,2003,26
,"""The Game of Love""",Santana featuring Michelle Branch,2003,27
,"""Lose Yourself""",Eminem,2003,28
,"""Rock wit U (Awww Baby)""",Ashanti,2003,29
,"""Cry Me a River""",Justin Timberlake,2003,30
,"""How You Gonna Act Like That""",Tyrese,2003,31
,"""Rock Your Body""",Justin Timberlake,2003,32
,"""No Letting Go""",Wayne Wonder,2003,33
,"""Frontin'""",Pharrell featuring Jay-Z,2003,34
,"""Landslide""",Dixie Chicks,2003,35
,"""Work It""",Missy Elliott,2003,36
,"""'03 Bonnie & Clyde""",Jay-Z featuring Beyoncé,2003,37
,"""Don't Mess with My Man""",Nivea featuring Jagged Edge,2003,38
,"""So Gone""",Monica,2003,39
,"""Air Force Ones""","Nelly featuring Murphy Lee, Ali, and Kyjuan",2003,40
,"""Never Leave You (Uh Oooh, Uh Oooh)""",Lumidee,2003,41
,"""Beautiful""",Snoop Dogg featuring Pharrell and Charlie Wilson,2003,42
,"""Gossip Folks""",Missy Elliott featuring Ludacris,2003,43
,"""Miss Independent""",Kelly Clarkson,2003,44
,"""Calling All Angels""",Train,2003,45
,"""Damn!""",YoungBloodZ featuring Lil Jon,2003,46
,"""This Is the Night""",Clay Aiken,2003,47
,"""Your Body Is a Wonderland""",John Mayer,2003,48
,"""Headstrong""",Trapt,2003,49
,"""In Those Jeans""",Ginuwine,2003,50
,"""Stand Up""",Ludacris featuring Shawnna,2003,51
,"""The Remedy (I Won't Worry)""",Jason Mraz,2003,52
,"""Why Don't You & I""",Santana featuring Alex Band,2003,53
,"""Excuse Me Miss""",Jay-Z,2003,54
,"""Jenny from the Block""",Jennifer Lopez featuring Jadakiss and Styles P,2003,55
